basic_trend_following,basic_mean_reversion,basic_breakout,basic_momentum,portfolio_enhanced_momentum,portfolio_enhanced_trend,portfolio_enhanced_breakout,portfolio_enhanced_mean_reversion
64000000.0,64000000.0,64000000.0,64000000.0,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,64000000.0,64000000.0,64000000.0,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,64000000.0,64000000.0,64000000.0,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,64000000.0,64000000.0,64000000.0,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,64000000.0,64000000.0,64000000.0,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,64000000.0,64000000.0,64000000.0,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,64000000.0,64000000.0,64000000.0,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,64000000.0,64000000.0,63893788.80060911,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,64000000.0,64000000.0,63864150.67680693,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,64000000.0,64000000.0,63865806.60682249,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,64000000.0,64000000.0,63775830.14113727,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,64000000.0,64000000.0,63566047.52583328,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,64000000.0,64000000.0,63638915.95241657,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,64000000.0,64000000.0,63596818.22627655,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,62782398.78566861,64000000.0,63515337.44616333,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,63843040.79282665,64000000.0,63613048.13415924,1000000.0,1000000.0,1000000.0,1000000.0
64000000.0,65066699.96687627,64000000.0,63634964.311160795,1004188.2761722434,1000000.0,1000000.0,1000000.0
64000000.0,65674327.90808582,64000000.0,63905427.77072935,1012790.0173002611,1000000.0,1000000.0,1000000.0
64000000.0,64958961.28903031,64000000.0,63574477.75869727,978431.9095898458,1000000.0,1000000.0,1000000.0
64000000.0,65484784.60293174,64000000.0,63841718.3806674,962665.3236654336,1000000.0,1000000.0,1000000.0
64000000.0,64362701.09391761,63969937.919484615,63579318.94037579,950929.9299428994,1000000.0,1000000.0,1000000.0
